[param : -s 0 -t 1 -c 1 -g 1.25e-07 -r -1 -d 3, ACC = 79.4, MSE = 0.824, SCC = 0.6319435961960072]
[param : -s 0 -t 1 -c 1 -g 1.25e-07 -r -0.1 -d 3, ACC = 79.44, MSE = 0.8236, SCC = 0.6322323403915332]
[param : -s 0 -t 1 -c 1 -g 1.25e-07 -r 0 -d 3, ACC = 28.88, MSE = 2.6804, SCC = 0.07799894864603243]
[param : -s 0 -t 1 -c 1 -g 1.25e-07 -r 0.1 -d 3, ACC = 79.4, MSE = 0.824, SCC = 0.6320120081943876]
[param : -s 0 -t 1 -c 1 -g 1.25e-07 -r 1 -d 3, ACC = 79.4, MSE = 0.824, SCC = 0.6320120081943876]
[param : -s 0 -t 1 -c 1 -g 1.25e-07 -r 10 -d 3, ACC = 82.28, MSE = 0.6996, SCC = 0.6852503100967502]
[param : -s 0 -t 1 -c 1 -g 1.25e-07 -r 100 -d 3, ACC = 95.16, MSE = 0.1556, SCC = 0.9238291202973485]
[param : -s 0 -t 1 -c 1 -g 1.25e-07 -r 1000 -d 3, ACC = 77.36, MSE = 0.7264, SCC = 0.6425678625863356]
[param : -s 0 -t 1 -c 1 -g 1.25e-06 -r -1000 -d 3, ACC = 94.72, MSE = 0.1656, SCC = 0.9192131526349082]
[param : -s 0 -t 1 -c 1 -g 1.25e-06 -r -100 -d 3, ACC = 96.08, MSE = 0.1292, SCC = 0.9364748400779093]
[param : -s 0 -t 1 -c 1 -g 1.25e-06 -r -10 -d 3, ACC = 93.72, MSE = 0.2188, SCC = 0.8945787726981551]
[param : -s 0 -t 1 -c 1 -g 1.25e-06 -r -1 -d 3, ACC = 79.44, MSE = 0.8236, SCC = 0.6322323403915332]
[param : -s 0 -t 1 -c 1 -g 1.25e-06 -r -0.1 -d 3, ACC = 79.44, MSE = 0.8236, SCC = 0.6322323403915332]
[param : -s 0 -t 1 -c 1 -g 1.25e-06 -r 0 -d 3, ACC = 28.88, MSE = 2.6804, SCC = 0.07799894864603243]
[param : -s 0 -t 1 -c 1 -g 1.25e-06 -r 0.1 -d 3, ACC = 79.4, MSE = 0.824, SCC = 0.6320120081943876]
[param : -s 0 -t 1 -c 1 -g 1.25e-06 -r 1 -d 3, ACC = 79.4, MSE = 0.824, SCC = 0.6320120081943876]
[param : -s 0 -t 1 -c 1 -g 1.25e-06 -r 10 -d 3, ACC = 93.72, MSE = 0.2188, SCC = 0.8945787726981551]
[param : -s 0 -t 1 -c 1 -g 1.25e-06 -r 100 -d 3, ACC = 96.08, MSE = 0.1292, SCC = 0.9364748400779093]
